state,district,year,crop,production_t
Punjab,Muktsar,2011 - 2012,Rice,402000.0
Punjab,Muktsar,2012 - 2013,Rice,471000.0
Punjab,Muktsar,2013 - 2014,Rice,457000.0
Punjab,Muktsar,2014 - 2015,Rice,514000.0
Punjab,Muktsar,2015 - 2016,Rice,667000.0
Punjab,Muktsar,2016 - 2017,Rice,699000.0
Punjab,Muktsar,2017 - 2018,Rice,687000.0
Punjab,Muktsar,2018 - 2019,Rice,728000.0
Punjab,Muktsar,2019 - 2020,Rice,637000.0
Punjab,Muktsar,2020 - 2021,Rice,809000.0
Punjab,Muktsar,2021 - 2022,Rice,766000.0
Punjab,Muktsar,2022 - 2023,Rice,754000.0
Punjab,Nawanshahr,2010 - 2011,Rice,231000.0
Punjab,Nawanshahr,2011 - 2012,Rice,226000.0
Punjab,Nawanshahr,2012 - 2013,Rice,236000.0
Punjab,Nawanshahr,2013 - 2014,Rice,202000.0
Punjab,Nawanshahr,2014 - 2015,Rice,226000.0
Punjab,Nawanshahr,2015 - 2016,Rice,252000.0
Punjab,Nawanshahr,2016 - 2017,Rice,260000.0
Punjab,Nawanshahr,2017 - 2018,Rice,282000.0
Punjab,Nawanshahr,2018 - 2019,Rice,237000.0
Punjab,Nawanshahr,2019 - 2020,Rice,251000.0
Punjab,Nawanshahr,2020 - 2021,Rice,270000.0
Punjab,Nawanshahr,2021 - 2022,Rice,275000.0
Punjab,Nawanshahr,2022 - 2023,Rice,224000.0
Punjab,Pathankot,2012 - 2013,Rice,76000.0
Punjab,Pathankot,2013 - 2014,Rice,78000.0
Punjab,Pathankot,2014 - 2015,Rice,72000.0
Punjab,Pathankot,2015 - 2016,Rice,88000.0
Punjab,Pathankot,2016 - 2017,Rice,77000.0
Punjab,Pathankot,2017 - 2018,Rice,86000.0
Punjab,Pathankot,2018 - 2019,Rice,91000.0
Punjab,Pathankot,2019 - 2020,Rice,86000.0
Punjab,Pathankot,2020 - 2021,Rice,105000.0
Punjab,Pathankot,2021 - 2022,Rice,97000.0
Punjab,Pathankot,2022 - 2023,Rice,82000.0
Punjab,Patiala,2010 - 2011,Rice,873000.0
Punjab,Patiala,2011 - 2012,Rice,903000.0
Punjab,Patiala,2012 - 2013,Rice,922000.0
Punjab,Patiala,2013 - 2014,Rice,959000.0
Punjab,Patiala,2014 - 2015,Rice,904000.0
Punjab,Patiala,2015 - 2016,Rice,910000.0
Punjab,Patiala,2016 - 2017,Rice,984000.0
Punjab,Patiala,2017 - 2018,Rice,1001000.0
Punjab,Patiala,2018 - 2019,Rice,920000.0
