state,district,year,crop,production_t,RPR,residue_generated_t,burn_fraction,burned_t,recoverable_t
Punjab,Jalandhar,2014 - 2015,Rice,616000.0,1.5,924000.0,0.8,739200.0,129359.99999999997
Punjab,Jalandhar,2015 - 2016,Rice,653000.0,1.5,979500.0,0.8,783600.0,137129.99999999997
Punjab,Jalandhar,2016 - 2017,Rice,699000.0,1.5,1048500.0,0.8,838800.0,146789.99999999994
Punjab,Jalandhar,2017 - 2018,Rice,715000.0,1.5,1072500.0,0.8,858000.0,150149.99999999994
Punjab,Jalandhar,2018 - 2019,Rice,719000.0,1.5,1078500.0,0.8,862800.0,150989.99999999994
Punjab,Jalandhar,2019 - 2020,Rice,713000.0,1.5,1069500.0,0.8,855600.0,149729.99999999994
Punjab,Jalandhar,2020 - 2021,Rice,797000.0,1.5,1195500.0,0.8,956400.0,167369.99999999994
Punjab,Jalandhar,2021 - 2022,Rice,747000.0,1.5,1120500.0,0.8,896400.0,156869.99999999994
Punjab,Jalandhar,2022 - 2023,Rice,733000.0,1.5,1099500.0,0.8,879600.0,153929.99999999994
Punjab,Kapurthala,2010 - 2011,Rice,460000.0,1.5,690000.0,0.8,552000.0,96599.99999999997
Punjab,Kapurthala,2011 - 2012,Rice,433000.0,1.5,649500.0,0.8,519600.0,90929.99999999997
Punjab,Kapurthala,2012 - 2013,Rice,445000.0,1.5,667500.0,0.8,534000.0,93449.99999999997
Punjab,Kapurthala,2013 - 2014,Rice,451000.0,1.5,676500.0,0.8,541200.0,94709.99999999997
Punjab,Kapurthala,2014 - 2015,Rice,439000.0,1.5,658500.0,0.8,526800.0,92189.99999999997
Punjab,Kapurthala,2015 - 2016,Rice,474000.0,1.5,711000.0,0.8,568800.0,99539.99999999997
Punjab,Kapurthala,2016 - 2017,Rice,483000.0,1.5,724500.0,0.8,579600.0,101429.99999999997
Punjab,Kapurthala,2017 - 2018,Rice,513000.0,1.5,769500.0,0.8,615600.0,107729.99999999997
Punjab,Kapurthala,2018 - 2019,Rice,512000.0,1.5,768000.0,0.8,614400.0,107519.99999999997
Punjab,Kapurthala,2019 - 2020,Rice,496000.0,1.5,744000.0,0.8,595200.0,104159.99999999997
Punjab,Kapurthala,2020 - 2021,Rice,511000.0,1.5,766500.0,0.8,613200.0,107309.99999999997
Punjab,Kapurthala,2021 - 2022,Rice,503000.0,1.5,754500.0,0.8,603600.0,105629.99999999997
Punjab,Kapurthala,2022 - 2023,Rice,509000.0,1.5,763500.0,0.8,610800.0,106889.99999999997
Punjab,Ludhiana,2010 - 2011,Rice,1133000.0,1.5,1699500.0,0.8,1359600.0,237929.99999999994
Punjab,Ludhiana,2011 - 2012,Rice,1094000.0,1.5,1641000.0,0.8,1312800.0,229739.99999999994
Punjab,Ludhiana,2012 - 2013,Rice,1169000.0,1.5,1753500.0,0.8,1402800.0,245489.99999999994
Punjab,Ludhiana,2013 - 2014,Rice,1137000.0,1.5,1705500.0,0.8,1364400.0,238769.99999999994
Punjab,Ludhiana,2014 - 2015,Rice,1119000.0,1.5,1678500.0,0.8,1342800.0,234989.99999999994
Punjab,Ludhiana,2015 - 2016,Rice,1181000.0,1.5,1771500.0,0.8,1417200.0,248009.99999999994
Punjab,Ludhiana,2016 - 2017,Rice,1247000.0,1.5,1870500.0,0.8,1496400.0,261869.99999999994
Punjab,Ludhiana,2017 - 2018,Rice,1224000.0,1.5,1836000.0,0.8,1468800.0,257039.99999999994
Punjab,Ludhiana,2018 - 2019,Rice,1153000.0,1.5,1729500.0,0.8,1383600.0,242129.99999999994
Punjab,Ludhiana,2019 - 2020,Rice,1211000.0,1.5,1816500.0,0.8,1453200.0,254309.99999999994
Punjab,Ludhiana,2020 - 2021,Rice,1264000.0,1.5,1896000.0,0.8,1516800.0,265439.99999999994
Punjab,Ludhiana,2021 - 2022,Rice,1246000.0,1.5,1869000.0,0.8,1495200.0,261659.99999999994
Punjab,Ludhiana,2022 - 2023,Rice,1236000.0,1.5,1854000.0,0.8,1483200.0,259559.99999999994
Punjab,Malerkotla,2021 - 2022,Rice,279000.0,1.5,418500.0,0.8,334800.0,58589.999999999985
Punjab,Malerkotla,2022 - 2023,Rice,277000.0,1.5,415500.0,0.8,332400.0,58169.999999999985
Punjab,Mansa,2010 - 2011,Rice,316000.0,1.5,474000.0,0.8,379200.0,66359.99999999999
Punjab,Mansa,2011 - 2012,Rice,292000.0,1.5,438000.0,0.8,350400.0,61319.999999999985
Punjab,Mansa,2012 - 2013,Rice,321000.0,1.5,481500.0,0.8,385200.0,67409.99999999999
Punjab,Mansa,2013 - 2014,Rice,334000.0,1.5,501000.0,0.8,400800.0,70139.99999999997
Punjab,Mansa,2014 - 2015,Rice,296000.0,1.5,444000.0,0.8,355200.0,62159.999999999985
Punjab,Mansa,2015 - 2016,Rice,363000.0,1.5,544500.0,0.8,435600.0,76229.99999999997
Punjab,Mansa,2016 - 2017,Rice,442000.0,1.5,663000.0,0.8,530400.0,92819.99999999997
Punjab,Mansa,2017 - 2018,Rice,499000.0,1.5,748500.0,0.8,598800.0,104789.99999999997
Punjab,Mansa,2018 - 2019,Rice,514000.0,1.5,771000.0,0.8,616800.0,107939.99999999997
Punjab,Mansa,2019 - 2020,Rice,489000.0,1.5,733500.0,0.8,586800.0,102689.99999999997
Punjab,Mansa,2020 - 2021,Rice,578000.0,1.5,867000.0,0.8,693600.0,121379.99999999997
Punjab,Mansa,2021 - 2022,Rice,561000.0,1.5,841500.0,0.8,673200.0,117809.99999999997
Punjab,Mansa,2022 - 2023,Rice,593000.0,1.5,889500.0,0.8,711600.0,124529.99999999997
Punjab,Moga,2010 - 2011,Rice,745000.0,1.5,1117500.0,0.8,894000.0,156449.99999999994
Punjab,Moga,2011 - 2012,Rice,759000.0,1.5,1138500.0,0.8,910800.0,159389.99999999994
Punjab,Moga,2012 - 2013,Rice,794000.0,1.5,1191000.0,0.8,952800.0,166739.99999999994
Punjab,Moga,2013 - 2014,Rice,815000.0,1.5,1222500.0,0.8,978000.0,171149.99999999994
Punjab,Moga,2014 - 2015,Rice,815000.0,1.5,1222500.0,0.8,978000.0,171149.99999999994
Punjab,Moga,2015 - 2016,Rice,871000.0,1.5,1306500.0,0.8,1045200.0,182909.99999999994
Punjab,Moga,2016 - 2017,Rice,816000.0,1.5,1224000.0,0.8,979200.0,171359.99999999994
Punjab,Moga,2017 - 2018,Rice,869000.0,1.5,1303500.0,0.8,1042800.0,182489.99999999994
Punjab,Moga,2018 - 2019,Rice,817000.0,1.5,1225500.0,0.8,980400.0,171569.99999999994
Punjab,Moga,2019 - 2020,Rice,826000.0,1.5,1239000.0,0.8,991200.0,173459.99999999994
Punjab,Moga,2020 - 2021,Rice,892000.0,1.5,1338000.0,0.8,1070400.0,187319.99999999994
Punjab,Moga,2021 - 2022,Rice,861000.0,1.5,1291500.0,0.8,1033200.0,180809.99999999994
Punjab,Moga,2022 - 2023,Rice,927000.0,1.5,1390500.0,0.8,1112400.0,194669.99999999994
Punjab,Muktsar,2010 - 2011,Rice,432000.0,1.5,648000.0,0.8,518400.0,90719.99999999997
Punjab,Muktsar,2011 - 2012,Rice,402000.0,1.5,603000.0,0.8,482400.0,84419.99999999997
Punjab,Muktsar,2012 - 2013,Rice,471000.0,1.5,706500.0,0.8,565200.0,98909.99999999997
Punjab,Muktsar,2013 - 2014,Rice,457000.0,1.5,685500.0,0.8,548400.0,95969.99999999997
Punjab,Muktsar,2014 - 2015,Rice,514000.0,1.5,771000.0,0.8,616800.0,107939.99999999997
Punjab,Muktsar,2015 - 2016,Rice,667000.0,1.5,1000500.0,0.8,800400.0,140069.99999999994
Punjab,Muktsar,2016 - 2017,Rice,699000.0,1.5,1048500.0,0.8,838800.0,146789.99999999994
Punjab,Muktsar,2017 - 2018,Rice,687000.0,1.5,1030500.0,0.8,824400.0,144269.99999999994
Punjab,Muktsar,2018 - 2019,Rice,728000.0,1.5,1092000.0,0.8,873600.0,152879.99999999994
Punjab,Muktsar,2019 - 2020,Rice,637000.0,1.5,955500.0,0.8,764400.0,133769.99999999997
Punjab,Muktsar,2020 - 2021,Rice,809000.0,1.5,1213500.0,0.8,970800.0,169889.99999999994
Punjab,Muktsar,2021 - 2022,Rice,766000.0,1.5,1149000.0,0.8,919200.0,160859.99999999994
Punjab,Muktsar,2022 - 2023,Rice,754000.0,1.5,1131000.0,0.8,904800.0,158339.99999999994
Punjab,Nawanshahr,2010 - 2011,Rice,231000.0,1.5,346500.0,0.8,277200.0,48509.999999999985
Punjab,Nawanshahr,2011 - 2012,Rice,226000.0,1.5,339000.0,0.8,271200.0,47459.999999999985
Punjab,Nawanshahr,2012 - 2013,Rice,236000.0,1.5,354000.0,0.8,283200.0,49559.999999999985
Punjab,Nawanshahr,2013 - 2014,Rice,202000.0,1.5,303000.0,0.8,242400.0,42419.999999999985
Punjab,Nawanshahr,2014 - 2015,Rice,226000.0,1.5,339000.0,0.8,271200.0,47459.999999999985
Punjab,Nawanshahr,2015 - 2016,Rice,252000.0,1.5,378000.0,0.8,302400.0,52919.999999999985
Punjab,Nawanshahr,2016 - 2017,Rice,260000.0,1.5,390000.0,0.8,312000.0,54599.999999999985
Punjab,Nawanshahr,2017 - 2018,Rice,282000.0,1.5,423000.0,0.8,338400.0,59219.999999999985
Punjab,Nawanshahr,2018 - 2019,Rice,237000.0,1.5,355500.0,0.8,284400.0,49769.999999999985
Punjab,Nawanshahr,2019 - 2020,Rice,251000.0,1.5,376500.0,0.8,301200.0,52709.999999999985
Punjab,Nawanshahr,2020 - 2021,Rice,270000.0,1.5,405000.0,0.8,324000.0,56699.999999999985
Punjab,Nawanshahr,2021 - 2022,Rice,275000.0,1.5,412500.0,0.8,330000.0,57749.999999999985
Punjab,Nawanshahr,2022 - 2023,Rice,224000.0,1.5,336000.0,0.8,268800.0,47039.999999999985
Punjab,Pathankot,2012 - 2013,Rice,76000.0,1.5,114000.0,0.8,91200.0,15959.999999999996
Punjab,Pathankot,2013 - 2014,Rice,78000.0,1.5,117000.0,0.8,93600.0,16379.999999999996
Punjab,Pathankot,2014 - 2015,Rice,72000.0,1.5,108000.0,0.8,86400.0,15119.999999999996
Punjab,Pathankot,2015 - 2016,Rice,88000.0,1.5,132000.0,0.8,105600.0,18479.999999999993
